;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH BUMIL;BUMIL TERDAMPINGI;BUMIL TIDAK TERDAMPINGI;JUMLAH BUMIL >=32 MINGGU;BUMIL >=32 MINGGU MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU TIDAK MENDAPAT INFORMASI KONTRASEPSI;BUMIL >=32 MINGGU AKAN KBPP;BUMIL >=32 MINGGU MEMUTUSKAN TIDAK KBPP;MENDAPATKAN TTD;TIDAK MENDAPATKAN TTD;MENGKOMSUMSI TTD;TIDAK MENGKOMSUMSI TTD;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK MENDAPAT KIE;MENDAPAT FASILITASI RUJUKAN;TIDAK MENDAPAT FASILITASI RUJUKAN;MENDAPAT FASILITASI BANSOS;TIDAK MENDAPAT FASILITASI BANSOS;BULAN
0;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;36;40;-4;30;20;2;16;6;40;0;40;0;40;0;0;0;5;35;15;25;SEPTEMBER
1;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;9;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
2;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;16;7;9;3;2;0;2;0;7;0;7;0;7;0;0;0;2;5;2;5;SEPTEMBER
3;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;30;6;24;6;3;0;1;2;6;0;6;0;6;0;0;0;2;4;5;1;SEPTEMBER
4;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;21;7;14;0;0;0;0;0;7;0;7;0;7;0;0;0;0;7;2;5;SEPTEMBER
5;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;44;9;35;3;1;0;1;0;9;0;9;0;1;0;7;1;4;5;2;7;SEPTEMBER
6;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;31;12;19;2;2;0;2;0;12;0;12;0;12;0;0;0;0;12;2;10;SEPTEMBER
7;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;10;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
8;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;33;0;33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
9;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;10;1;9;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
10;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;20;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
11;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;30;12;18;1;1;0;1;0;11;1;11;1;12;0;0;0;0;12;1;11;SEPTEMBER
12;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;18;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
13;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;10;2;8;0;0;0;0;0;2;0;2;0;1;0;1;0;0;2;0;2;SEPTEMBER
