;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH PASCASALIN;BERISIKO;TIDAK BERISIKO;MELAHIRKAN NORMAL;MELAHIRKAN CAESAR;KOMPLIKASI SAAT NIFAS;TIDAK KOMPLIKASI SAAT NIFAS;PENDARAHAN;HIPERTENSI;INFEKSI;KOMPLIKASI LAINNYA;MINIMAL 1 HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;TIDAK ADA YANG HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;LAHIR HIDUP SAAT DILAHIRKAN;LAHIR MENINGGAL SAAT DILAHIRKAN;KEADAAN BAYI HIDUP;KEADAAN BAYI MENINGGAL;MENDAPATKAN HIDUP;MENDAPATKAN MENINGGAL;MENGKOMSUMSI YA;TMENGKOMSUMSI TIDAK;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK KIE;MENDAPATKAN FASILITAS RUJUKAN;TIDAK MENDAPAT FASILITAS RUJUKAN;MENDAPATKAN FASILITAS BANSOS;TIDAK MENDAPAT FASILITAS BANSOS;BULAN
0;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;18;0;0;12;6;0;18;0;0;0;0;1;0;17;0;17;0;18;0;18;0;18;0;0;0;1;17;2;16;SEPTEMBER
1;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
2;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
3;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
4;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;SEPTEMBER
5;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;32;0;0;27;5;0;32;0;0;0;0;0;0;32;0;32;0;28;4;28;4;7;0;19;6;1;31;9;23;SEPTEMBER
6;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;SEPTEMBER
7;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
8;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
9;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
10;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
11;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
12;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
13;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
14;SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
15;SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
16;SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
17;SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
18;SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
19;SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
20;SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
21;SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
22;SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
23;SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
24;SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
25;SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
26;SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
27;SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
28;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
29;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;2;0;0;1;1;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;1;1;SEPTEMBER
30;SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;0;1;0;1;SEPTEMBER
31;SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
32;SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
33;SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
34;SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;5;0;0;1;4;0;5;0;0;0;0;0;0;5;0;5;0;4;1;4;1;5;0;0;0;0;5;0;5;SEPTEMBER
35;SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;1;0;0;1;SEPTEMBER
36;SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;5;0;0;4;1;0;5;0;0;0;0;0;0;5;0;5;0;5;0;5;0;3;2;0;0;0;5;3;2;SEPTEMBER
37;SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
38;SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;1;0;0;1;0;1;0;SEPTEMBER
39;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
40;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
41;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
42;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;1;0;0;1;SEPTEMBER
43;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
44;SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
45;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
46;SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;4;0;0;3;1;2;2;0;1;0;1;0;0;4;0;4;0;4;0;4;0;0;1;3;0;1;3;0;4;SEPTEMBER
47;SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
48;SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
49;SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
50;SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
51;SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
52;SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
53;SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
54;SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;6;0;0;1;5;0;6;0;0;0;0;0;0;6;0;6;0;6;0;6;0;6;0;0;0;0;6;0;6;SEPTEMBER
55;SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
56;SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
57;SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
58;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
59;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
60;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
61;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
62;SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
63;SULAWESI BARAT;MAMUJU;MAMUJU;BINANGA;2;0;0;1;1;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;1;1;0;0;0;2;0;2;SEPTEMBER
64;SULAWESI BARAT;MAMUJU;MAMUJU;MAMUNYU;2;0;0;1;1;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2;SEPTEMBER
65;SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
66;SULAWESI BARAT;MAMUJU;MAMUJU;RIMUKU;7;0;0;3;4;0;7;0;0;0;0;0;0;7;0;7;0;7;0;7;0;7;0;0;0;1;6;1;6;SEPTEMBER
67;SULAWESI BARAT;MAMUJU;MAMUJU;BAMBU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
68;SULAWESI BARAT;MAMUJU;MAMUJU;KARAMPUANG;8;0;0;8;0;0;8;0;0;0;0;0;0;8;0;8;0;8;0;8;0;6;1;1;0;0;8;1;7;SEPTEMBER
69;SULAWESI BARAT;MAMUJU;MAMUJU;TADUI;4;0;0;4;0;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;3;0;1;0;0;4;4;0;SEPTEMBER
70;SULAWESI BARAT;MAMUJU;MAMUJU;BATU PANNU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
71;SULAWESI BARAT;MAMUJU;TAPALANG;GALUNG;4;0;0;2;2;0;4;0;0;0;0;0;0;4;0;4;0;4;0;4;0;4;0;0;0;0;4;4;0;SEPTEMBER
72;SULAWESI BARAT;MAMUJU;TAPALANG;KASAMBANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
73;SULAWESI BARAT;MAMUJU;TAPALANG;DAYANGINNA;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
74;SULAWESI BARAT;MAMUJU;TAPALANG;OROBATU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
75;SULAWESI BARAT;MAMUJU;TAPALANG;TAKANDEANG;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1;SEPTEMBER
76;SULAWESI BARAT;MAMUJU;TAPALANG;BELA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
77;SULAWESI BARAT;MAMUJU;TAPALANG;TAAN;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0;SEPTEMBER
78;SULAWESI BARAT;MAMUJU;TAPALANG;TAMPALANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;SEPTEMBER
