;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;GENTING;BULAN
1;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;18;SEPTEMBER
2;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;35;SEPTEMBER
3;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;49;SEPTEMBER
4;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;25;SEPTEMBER
5;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;58;SEPTEMBER
6;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;24;SEPTEMBER
7;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;20;SEPTEMBER
8;SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;22;SEPTEMBER
9;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;10;SEPTEMBER
10;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;21;SEPTEMBER
11;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;15;SEPTEMBER
12;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;22;SEPTEMBER
13;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;13;SEPTEMBER
14;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;0;SEPTEMBER
15;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;16;SEPTEMBER
16;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;21;SEPTEMBER
17;SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;9;SEPTEMBER
18;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;57;SEPTEMBER
19;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;10;SEPTEMBER
20;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;0;SEPTEMBER
21;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;20;SEPTEMBER
22;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;15;SEPTEMBER
23;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;8;SEPTEMBER
24;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;9;SEPTEMBER
25;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;7;SEPTEMBER
26;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;12;SEPTEMBER
27;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;0;SEPTEMBER
28;SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;8;SEPTEMBER
29;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;8;SEPTEMBER
30;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;19;SEPTEMBER
31;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;9;SEPTEMBER
32;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;5;SEPTEMBER
33;SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;10;SEPTEMBER
