PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELURAHAN/DESA;JUMLAH KAMPUNG KB;2016;2017;2018;2019;> 2019;KAMPUNG KB MANDIRI;KAMPUNG KB PERCONTOHAN
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2001;BAMBAIRA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2002;KASOLOANG;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2003;TAMPAURE;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2004;KALUKU NANGKA;1;0;0;0;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;1006;BAMBALAMOTU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2003;POLEWALI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2004;RANDOMAYANG;1;1;0;1;0;0;0;0;1
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2007;PANGIANG;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2008;KALOLA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2009;WULAI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;1001;BARAS;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;2002;BALANTI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;2003;MOTU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;2012;BULU PARIGI;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;2013;TOWONI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BARAS;2016;KASANO;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2001;LILIMORI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2002;KARAVE;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2003;BUKIT HARAPAN;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2004;KASTABUANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2005;SUMBER SARI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2006;LELEJAE;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;BULU TABA;2007;OMPI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;DAPURANG;2001;DAPURANG;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;PASANGKAYU;DAPURANG;2002;BENGGAULU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;DAPURANG;2003;TIRTABUANA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;DAPURANG;2004;BULU BONGGU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;DAPURANG;2005;SARASA;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2001;TAMMARUNANG;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2002;SAPTANAJAYA;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2003;TARANGGI;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2004;SIPAKAINGA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2001;PARABU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2002;KENANGAN;1;0;0;0;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2003;BAJAWALI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2004;SINGGANI;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2005;KULU;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2006;BATU MATORU;1;1;0;0;0;1;0;0;0
SULAWESI BARAT;PASANGKAYU;LARIANG;2007;BAMBAKORO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1001;PASANGKAYU;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1002;MARTAJAYA;1;1;0;0;0;0;1;0;0
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2010;PAKAVA;1;1;0;1;0;0;0;0;0
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2014;KARYA BERSAMA;1;1;1;0;0;0;0;0;1
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2015;AKO;1;1;0;0;1;0;0;0;0
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2016;GUNUNG SARI;1;1;0;0;0;0;1;0;0
