PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;PENDAMPINGAN TPA;BULAN
SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;1;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;1;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;1;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;1;SEPTEMBER
SULAWESI BARAT;MAMUJU;MAMUJU;KAREMA;1;SEPTEMBER
SULAWESI BARAT;MAMUJU;SIMBORO;RANGAS;1;SEPTEMBER
SULAWESI BARAT;MAMUJU;TOMMO;KAKULLASANG;1;SEPTEMBER
SULAWESI BARAT;MAMUJU;TOMMO;LELING;1;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;5;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;5;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;1;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;1;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;4;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;7;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;CAMPALAGIAN;SUMARRANG;1;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;MATAKALI;BARUMBUNG;3;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;WONOMULYO;SIDODADI;1;SEPTEMBER
SULAWESI BARAT;POLEWALI MANDAR;WONOMULYO;TUMPILING;1;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TANGKOU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TABOLANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PARAILI;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG IV;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TAPPILINA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BAMBAMANURUNG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALULEKBO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PANGALLOANG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SINABATTA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAROSSA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;TASOKKO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LARA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KADAILA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAYU CALLA;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LEMBAH HOPO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;BENGGAULU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SUKA MAJU;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAMBUNONG;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SALUBIRO;0;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SANJANGO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KULU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;PARABU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;KENANGAN;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAJAWALI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;SINGGANI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BATU MATORU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;LARIANG;BAMBAKORO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARJO;SARUDE;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;0;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;BARU;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BINANGA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;SENDANA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;0;SEPTEMBER
SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;0;SEPTEMBER
