;PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;JUMLAH KELUARGA;JUMLAH KELUARGA SASARAN;KESEJAHTERAAN 1;KESEJAHTERAAN 2;KESEJAHTERAAN 3;KESEJAHTERAAN 4;KESEJAHTERAAN > 4;JUMLAH KRS;JUMLAH TIDAK BERESIKO;PUNYA BADUTA;PUNYA BALITA;PUS;PUS HAMIL;SUMBER AIR MINUM TIDAK LAYAK;JAMBAN TIDAK LAYAK;TERLALU MUDA;TERLALU TUA;TERLALU DEKAT;TERLALU BANYAK;PUS 4T;BUKAN PESERTA KB MODERN;PERIODE
0;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2001;BAMBAIRA;728;538;38;23;14;12;103;190;348;55;146;536;25;98;41;18;122;10;186;261;223;Sem 2 2024
1;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2002;KASOLOANG;533;352;11;11;10;7;96;135;217;46;83;349;9;45;72;6;92;10;143;194;133;Sem 2 2024
2;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2003;TAMPAURE;574;377;44;34;14;21;89;202;175;28;98;373;7;163;116;20;70;5;125;186;85;Sem 2 2024
3;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2004;KALUKU NANGKA;687;514;29;25;18;17;119;208;306;65;146;513;20;93;103;7;117;7;207;259;159;Sem 2 2024
4;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;1006;BAMBALAMOTU;974;680;25;31;22;34;159;271;409;75;169;677;0;61;174;12;145;12;277;360;214;Sem 2 2024
5;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2003;POLEWALI;1084;738;36;21;18;19;156;250;488;86;186;730;40;152;132;15;164;8;207;322;276;Sem 2 2024
6;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2004;RANDOMAYANG;964;671;23;25;16;10;199;273;398;96;172;667;9;83;159;10;181;12;280;382;245;Sem 2 2024
7;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2007;PANGIANG;689;435;24;31;20;14;131;220;215;61;107;432;10;103;95;9;94;8;153;209;240;Sem 2 2024
8;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2008;KALOLA;981;712;65;52;15;19;146;297;415;109;167;709;12;176;170;22;152;12;249;332;230;Sem 2 2024
9;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2009;WULAI;572;409;57;43;28;31;96;255;154;12;53;409;0;219;110;8;98;3;114;179;87;Sem 2 2024
10;SULAWESI BARAT;PASANGKAYU;BARAS;1001;BARAS;864;559;3;2;3;1;201;210;349;71;131;555;4;3;131;8;116;9;183;247;275;Sem 2 2024
11;SULAWESI BARAT;PASANGKAYU;BARAS;2002;BALANTI;737;508;1;4;2;4;26;37;471;44;93;506;8;6;3;3;108;4;140;209;78;Sem 2 2024
12;SULAWESI BARAT;PASANGKAYU;BARAS;2003;MOTU;1385;1045;8;10;17;23;160;218;827;99;243;1040;5;9;14;5;260;13;337;489;459;Sem 2 2024
13;SULAWESI BARAT;PASANGKAYU;BARAS;2012;BULU PARIGI;471;336;7;9;9;11;86;122;214;13;47;335;1;17;62;4;75;4;123;163;146;Sem 2 2024
14;SULAWESI BARAT;PASANGKAYU;BARAS;2013;TOWONI;330;263;1;0;2;1;29;33;230;28;74;256;7;11;7;5;58;3;69;116;64;Sem 2 2024
15;SULAWESI BARAT;PASANGKAYU;BARAS;2016;KASANO;889;624;6;8;10;5;86;115;509;43;132;623;2;1;26;15;147;8;185;286;236;Sem 2 2024
