;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH PASCASALIN;BERISIKO;TIDAK BERISIKO;MELAHIRKAN NORMAL;MELAHIRKAN CAESAR;KOMPLIKASI SAAT NIFAS;TIDAK KOMPLIKASI SAAT NIFAS;PENDARAHAN;HIPERTENSI;INFEKSI;KOMPLIKASI LAINNYA;MINIMAL 1 HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;TIDAK ADA YANG HIDUP PADA KEADAAN BAYI KEMBAR SAAT DILAHIRKAN;LAHIR HIDUP SAAT DILAHIRKAN;LAHIR MENINGGAL SAAT DILAHIRKAN;KEADAAN BAYI HIDUP;KEADAAN BAYI MENINGGAL;MENDAPATKAN HIDUP;MENDAPATKAN MENINGGAL;MENGKOMSUMSI YA;TMENGKOMSUMSI TIDAK;KIE PERSEORANGAN;KIE KELOMPOK;KIE PERSEORANGAN DAN KELOMPOK;TIDAK KIE;MENDAPATKAN FASILITAS RUJUKAN;TIDAK MENDAPAT FASILITAS RUJUKAN;MENDAPATKAN FASILITAS BANSOS;TIDAK MENDAPAT FASILITAS BANSOS
0;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;18;0;0;12;6;0;18;0;0;0;0;1;0;17;0;17;0;18;0;18;0;18;0;0;0;1;17;2;16
1;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;1;0
5;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;32;0;0;27;5;0;32;0;0;0;0;0;0;32;0;32;0;28;4;28;4;7;0;19;6;1;31;9;23
6;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;2;0;0;2;0;0;2;0;0;0;0;0;0;2;0;2;0;2;0;2;0;2;0;0;0;0;2;0;2
7;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
8;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12;SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
13;SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
14;SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
15;SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
16;SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
17;SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
18;SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
19;SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
20;SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
21;SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
22;SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
23;SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
24;SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
25;SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
26;SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;1;0;0;1;0;0;1;0;0;0;0;0;0;1;0;1;0;1;0;1;0;1;0;0;0;0;1;0;1
