PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI DIMENSI LANSIA TANGGUH;MATERI PEDOMAN PJP;MATERI PRA LANSIA;MATERI KELANJUT-USIAAN LAINNYA;MATERI KB DAN KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH ANGGOTA BKL;JUMLAH ANGGOTA KELUARGA HADIR;JUMLAH ANGGOTA LANSIA HADIR;STATUS PUS;STATUS BER-KB;BULAN
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2001;BAMBAIRA;1;1;100.00;1;0;0;0;1;0;1;1;0;63;19;20;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2002;KASOLOANG;1;1;100.00;1;0;0;0;0;0;1;1;0;28;25;26;1;1;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2003;TAMPAURE;1;1;100.00;1;0;0;0;0;0;1;1;0;48;46;57;8;5;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2004;KALUKU NANGKA;1;0;0.00;0;0;0;0;0;0;0;0;0;62;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;1006;BAMBALAMOTU;1;1;100.00;1;0;0;0;0;0;1;1;0;126;22;0;11;8;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2003;POLEWALI;1;1;100.00;1;0;0;1;0;1;1;1;0;130;50;21;9;9;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2004;RANDOMAYANG;2;2;100.00;2;0;0;0;0;0;2;2;0;105;89;26;13;12;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2007;PANGIANG;1;1;100.00;1;0;0;1;0;1;1;1;0;31;23;4;6;4;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2008;KALOLA;1;1;100.00;1;0;1;0;0;0;1;1;0;100;60;22;5;4;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;2009;WULAI;1;1;100.00;1;0;1;0;0;0;1;1;0;97;61;17;7;3;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2001;LILIMORI;1;1;100.00;1;0;0;0;0;0;1;1;0;39;16;24;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2002;KARAVE;1;1;100.00;1;0;0;0;0;0;1;1;0;81;25;3;7;7;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2003;BUKIT HARAPAN;1;1;100.00;1;0;0;0;0;0;1;1;0;30;25;7;1;1;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2004;KASTABUANA;1;1;100.00;1;0;0;0;0;0;1;1;0;26;25;11;4;1;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2005;SUMBER SARI;1;1;100.00;1;0;0;0;0;0;1;1;0;28;25;1;15;13;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2006;LELEJAE;1;1;100.00;1;0;0;0;0;0;1;1;0;46;20;13;6;6;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2007;OMPI;1;1;100.00;1;0;0;0;0;0;1;1;0;20;20;11;3;3;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;1001;BARAS;1;1;100.00;1;0;0;0;0;0;1;1;0;54;17;18;4;3;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;2002;BALANTI;1;1;100.00;1;0;0;0;0;0;1;1;0;60;32;37;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;2003;MOTU;1;1;100.00;1;0;0;1;0;1;1;1;0;63;25;27;1;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;2012;BULU PARIGI;1;1;100.00;1;0;0;0;0;0;1;1;0;48;44;41;2;1;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;2013;TOWONI;1;1;100.00;1;0;0;0;0;0;1;1;0;35;34;32;7;5;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;2016;KASANO;1;1;100.00;1;0;0;0;0;0;1;1;0;61;15;13;2;1;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2001;PARABU;1;1;100.00;1;0;0;0;1;0;1;1;0;42;39;24;7;6;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2002;KENANGAN;1;1;100.00;1;0;0;0;0;0;1;1;0;34;23;18;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2003;BAJAWALI;1;1;100.00;1;0;0;0;0;0;1;1;0;79;33;30;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2004;SINGGANI;1;1;100.00;1;0;0;0;0;0;1;1;0;43;19;1;14;9;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2005;KULU;1;1;100.00;1;0;0;0;1;0;1;1;0;33;30;8;3;1;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2006;BATU MATORU;1;1;100.00;1;0;0;0;1;0;1;1;0;36;32;16;3;1;JANUARI
SULAWESI BARAT;PASANGKAYU;LARIANG;2007;BAMBAKORO;1;1;100.00;1;0;0;0;0;0;1;1;0;37;19;0;12;8;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1001;PASANGKAYU;3;2;66.67;2;0;0;0;0;0;2;2;0;206;83;83;18;10;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;1002;MARTAJAYA;1;1;100.00;1;0;0;0;0;0;1;1;0;46;45;57;24;21;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2010;PAKAVA;1;1;100.00;1;0;0;0;0;0;1;1;0;21;21;22;1;0;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2014;KARYA BERSAMA;1;1;100.00;1;0;0;0;1;0;1;1;0;46;31;35;13;9;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2015;AKO;1;1;100.00;1;0;0;0;0;0;1;1;0;50;37;44;1;1;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;2016;GUNUNG SARI;1;1;100.00;1;0;0;0;0;0;1;1;0;33;32;44;6;4;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2001;TAMMARUNANG;1;1;100.00;1;1;1;0;1;0;1;1;0;48;37;40;9;5;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2002;SAPTANAJAYA;1;1;100.00;1;1;0;0;0;0;1;1;0;58;43;0;6;3;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2003;TARANGGI;1;1;100.00;1;1;1;0;1;0;1;1;0;20;18;25;10;7;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;2004;SIPAKAINGA;1;1;100.00;1;1;0;0;1;0;1;1;0;20;19;0;2;2;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2001;DAPURANG;1;1;100.00;0;1;1;0;0;0;1;1;0;128;40;11;8;6;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2002;BENGGAULU;1;1;100.00;1;0;0;0;0;0;1;1;0;119;40;3;19;12;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2003;TIRTABUANA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2004;BULU BONGGU;1;1;100.00;1;0;0;0;0;0;1;1;0;59;25;9;9;6;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2005;SARASA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1002;BINANGA;1;1;100.00;1;0;0;0;1;0;1;1;0;245;42;48;5;5;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1003;MAMUNYU;1;1;100.00;0;1;0;0;1;0;1;1;0;123;43;45;7;5;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1012;KAREMA;1;1;100.00;1;0;0;1;1;1;1;1;0;182;44;42;3;2;JANUARI
SULAWESI BARAT;MAMUJU;MAMUJU;1013;RIMUKU;1;1;100.00;0;1;0;0;1;0;1;1;0;105;37;25;11;10;JANUARI
