PROVINSI;KABUPATEN;KECAMATAN;KODE;KELURAHAN;YANG ADA;YANG LAPOR;PERSENTASE LAPOR;MATERI PBKR;MATERI KESPRO;MATERI LAINNYA;JUMLAH PERTEMUAN PENYULUHAN;TATAP MUKA;VIRTUAL;JUMLAH KELUARGA ANGGOTA BKR;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN;STATUS PUS;STATUS BER-KB;JUMLAH KELUARGA ANGGOTA BKR HADIR PERTEMUAN MATERI PKBR;BULAN
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2001;BAMBAIRA;1;1;100.00;1;0;0;1;1;0;165;82;48;30;82;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2002;KASOLOANG;1;1;100.00;1;0;0;1;1;1;81;50;34;26;50;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2003;TAMPAURE;1;1;100.00;1;1;0;1;1;0;88;66;45;31;66;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;2004;KALUKU NANGKA;1;1;100.00;1;0;0;1;1;0;64;29;22;20;29;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2001;LILIMORI;1;1;100.00;1;0;0;1;1;0;150;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2002;KARAVE;1;1;100.00;1;0;0;1;1;0;259;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2003;BUKIT HARAPAN;1;1;100.00;1;0;0;1;1;0;123;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2004;KASTABUANA;1;1;100.00;1;0;0;1;1;0;150;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2005;SUMBER SARI;1;1;100.00;1;0;0;1;1;0;37;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2006;LELEJAE;1;1;100.00;1;0;0;1;1;0;150;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;2007;OMPI;1;1;100.00;1;0;0;1;1;0;70;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2001;DAPURANG;1;1;100.00;2;0;0;2;2;0;539;75;57;48;75;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2002;BENGGAULU;1;0;0.00;0;0;0;0;0;0;40;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2003;TIRTABUANA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2004;BULU BONGGU;1;1;100.00;2;0;0;2;2;0;415;41;31;23;41;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;2005;SARASA;0;0;0.00;0;0;0;0;0;0;0;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;2001;POLO PANGALE;1;1;100.00;1;1;0;1;1;0;73;0;0;0;0;JANUARI
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;2002;PANGALE;1;1;100.00;1;0;0;1;1;0;57;32;15;12;32;JANUARI
