PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;JUMLAH SASARAN;JUMLAH DITIMBANG;BULAN
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;MAHAHE;237;144;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOBAJA;156;124;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;TOBADAK;885;421;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;PALONGAAN;190;177;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BATU PARIGI;391;319;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;BAMBADARU;105;101;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SEJATI;84;75;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOBADAK;SALOADAK;155;97;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO PANGALE;165;135;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;PANGALE;165;90;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;SARTANAMAJU;89;67;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO LERENG;147;126;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KUO;227;165;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;POLO CAMBA;81;81;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LAMBA-LAMBA;112;94;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;KOMBILING;205;166;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;PANGALE;LEMO-LEMO;83;48;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BABANA;648;447;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LUMU;218;161;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PONTANAKAYANG;293;218;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALOGATTA;294;294;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;KIRE;255;144;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;TINALI;135;123;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;SALUMANURUNG;141;101;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;PASAPA;117;109;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BOJO;146;118;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;BARAKKANG;167;158;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;BUDONG-BUDONG;LEMBAH HADA;48;37;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BUDONG-BUDONG;228;57;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TOPOYO;700;622;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TUMBU;290;71;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;KABUBU;179;149;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;WAEPUTEH;149;131;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TANGKOU;64;64;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TABOLANG;308;303;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PARAILI;147;112;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG;154;124;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALUPANGKANG IV;39;39;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;TAPPILINA;81;66;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;BAMBAMANURUNG;85;68;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SALULEKBO;214;210;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;PANGALLOANG;134;114;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;TOPOYO;SINABATTA;129;59;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAROSSA;545;306;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;TASOKKO;459;437;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LARA;187;154;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KADAILA;148;89;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAYU CALLA;60;48;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;LEMBAH HOPO;134;115;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;BENGGAULU;183;110;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SUKA MAJU;138;125;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;KAMBUNONG;275;229;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SALUBIRO;135;92;SEPTEMBER
SULAWESI BARAT;MAMUJU TENGAH;KAROSSA;SANJANGO;153;107;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;135;133;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;234;233;SEPTEMBER
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;145;145;SEPTEMBER
