;PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;SIDAYA;BULAN
1;SULAWESI BARAT;MAJENE;BANGGAE;BANGGAE;0;SEPTEMBER
2;SULAWESI BARAT;MAJENE;BANGGAE;BARU;31;SEPTEMBER
3;SULAWESI BARAT;MAJENE;BANGGAE;GALUNG;28;SEPTEMBER
4;SULAWESI BARAT;MAJENE;BANGGAE;PALIPI SOREANG;0;SEPTEMBER
5;SULAWESI BARAT;MAJENE;BANGGAE;PAMBOBORANG;13;SEPTEMBER
6;SULAWESI BARAT;MAJENE;BANGGAE;PANGALI ALI;14;SEPTEMBER
7;SULAWESI BARAT;MAJENE;BANGGAE;RANGAS;26;SEPTEMBER
8;SULAWESI BARAT;MAJENE;BANGGAE;TOTOLI;10;SEPTEMBER
9;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA;8;SEPTEMBER
10;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BARUGA DHUA;7;SEPTEMBER
11;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BAURUNG;16;SEPTEMBER
12;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;BUTTU BARUGA;3;SEPTEMBER
13;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG;9;SEPTEMBER
14;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LABUANG UTARA;9;SEPTEMBER
15;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;LEMBANG;10;SEPTEMBER
16;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE;7;SEPTEMBER
17;SULAWESI BARAT;MAJENE;BANGGAE TIMUR;TANDE TIMUR;9;SEPTEMBER
18;SULAWESI BARAT;MAJENE;MALUNDA;BAMBANGAN;6;SEPTEMBER
19;SULAWESI BARAT;MAJENE;MALUNDA;KAYUANGIN;5;SEPTEMBER
20;SULAWESI BARAT;MAJENE;MALUNDA;LAMUNGANG BATU;8;SEPTEMBER
21;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG;2;SEPTEMBER
22;SULAWESI BARAT;MAJENE;MALUNDA;LOMBANG TIMUR;2;SEPTEMBER
23;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG;11;SEPTEMBER
24;SULAWESI BARAT;MAJENE;MALUNDA;LOMBONG TIMUR;6;SEPTEMBER
25;SULAWESI BARAT;MAJENE;MALUNDA;MALIAYA;4;SEPTEMBER
26;SULAWESI BARAT;MAJENE;MALUNDA;MALUNDA;2;SEPTEMBER
27;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA;6;SEPTEMBER
28;SULAWESI BARAT;MAJENE;MALUNDA;MEKKATTA SELATAN;4;SEPTEMBER
29;SULAWESI BARAT;MAJENE;MALUNDA;SALUTAHONGAN;0;SEPTEMBER
30;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG;10;SEPTEMBER
31;SULAWESI BARAT;MAJENE;PAMBOANG;ADOLANG DHUA;8;SEPTEMBER
32;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO;5;SEPTEMBER
33;SULAWESI BARAT;MAJENE;PAMBOANG;BABABULO UTARA;2;SEPTEMBER
34;SULAWESI BARAT;MAJENE;PAMBOANG;BALOMBONG;1;SEPTEMBER
35;SULAWESI BARAT;MAJENE;PAMBOANG;BANUA ADOLANG;5;SEPTEMBER
36;SULAWESI BARAT;MAJENE;PAMBOANG;BETTENG;4;SEPTEMBER
37;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE;13;SEPTEMBER
38;SULAWESI BARAT;MAJENE;PAMBOANG;BONDE UTARA;9;SEPTEMBER
39;SULAWESI BARAT;MAJENE;PAMBOANG;BUTTU PAMBOANG;6;SEPTEMBER
40;SULAWESI BARAT;MAJENE;PAMBOANG;LALAMPANUA;10;SEPTEMBER
41;SULAWESI BARAT;MAJENE;PAMBOANG;PESULOANG;6;SEPTEMBER
42;SULAWESI BARAT;MAJENE;PAMBOANG;SIMBANG;5;SEPTEMBER
43;SULAWESI BARAT;MAJENE;PAMBOANG;SIRINDU;7;SEPTEMBER
44;SULAWESI BARAT;MAJENE;PAMBOANG;TINAMBUNG;16;SEPTEMBER
45;SULAWESI BARAT;MAJENE;SENDANA;BANUA SENDANA;11;SEPTEMBER
46;SULAWESI BARAT;MAJENE;SENDANA;BINANGA;6;SEPTEMBER
47;SULAWESI BARAT;MAJENE;SENDANA;BUKIT SAMANG;7;SEPTEMBER
48;SULAWESI BARAT;MAJENE;SENDANA;LALATEDZONG;5;SEPTEMBER
49;SULAWESI BARAT;MAJENE;SENDANA;LEPPANGANG;3;SEPTEMBER
50;SULAWESI BARAT;MAJENE;SENDANA;LIMBORO RAMBU-RAMBU;3;SEPTEMBER
51;SULAWESI BARAT;MAJENE;SENDANA;LIMBUA;11;SEPTEMBER
52;SULAWESI BARAT;MAJENE;SENDANA;MOSSO;19;SEPTEMBER
53;SULAWESI BARAT;MAJENE;SENDANA;MOSSO DHUA;6;SEPTEMBER
54;SULAWESI BARAT;MAJENE;SENDANA;PAMINGGALAN;7;SEPTEMBER
55;SULAWESI BARAT;MAJENE;SENDANA;PUNDAU;11;SEPTEMBER
56;SULAWESI BARAT;MAJENE;SENDANA;PUTTADA;5;SEPTEMBER
57;SULAWESI BARAT;MAJENE;SENDANA;SENDANA;9;SEPTEMBER
58;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA;4;SEPTEMBER
59;SULAWESI BARAT;MAJENE;SENDANA;TALLUBANUA UTARA;10;SEPTEMBER
60;SULAWESI BARAT;MAJENE;SENDANA;TOTOLISI SENDANA;15;SEPTEMBER
61;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;AWO;0;SEPTEMBER
62;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;MANYAMBA;0;SEPTEMBER
63;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;SEPPONG;0;SEPTEMBER
64;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TALLAMBALAO;0;SEPTEMBER
65;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO;0;SEPTEMBER
66;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;TAMMERODO UTARA;0;SEPTEMBER
67;SULAWESI BARAT;MAJENE;TAMMERODO SENDANA;ULIDANG;0;SEPTEMBER
68;SULAWESI BARAT;MAJENE;TUBO SENDANA;BONDE BONDE;4;SEPTEMBER
69;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG;1;SEPTEMBER
70;SULAWESI BARAT;MAJENE;TUBO SENDANA;ONANG UTARA;5;SEPTEMBER
71;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO;12;SEPTEMBER
72;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO POANG;4;SEPTEMBER
73;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO SELATAN;9;SEPTEMBER
74;SULAWESI BARAT;MAJENE;TUBO SENDANA;TUBO TENGAH;7;SEPTEMBER
75;SULAWESI BARAT;MAJENE;ULUMANDA;KABIRAAN;3;SEPTEMBER
76;SULAWESI BARAT;MAJENE;ULUMANDA;PANGGALO;6;SEPTEMBER
77;SULAWESI BARAT;MAJENE;ULUMANDA;POPENGA;5;SEPTEMBER
78;SULAWESI BARAT;MAJENE;ULUMANDA;SALUTAMBUNG;4;SEPTEMBER
79;SULAWESI BARAT;MAJENE;ULUMANDA;SAMBABO;3;SEPTEMBER
80;SULAWESI BARAT;MAJENE;ULUMANDA;SULAI;8;SEPTEMBER
81;SULAWESI BARAT;MAJENE;ULUMANDA;TANDEALLO;0;SEPTEMBER
82;SULAWESI BARAT;MAJENE;ULUMANDA;ULUMANDA;6;SEPTEMBER
83;SULAWESI BARAT;MAMASA;ARALLE;ARALLE;0;SEPTEMBER
84;SULAWESI BARAT;MAMASA;ARALLE;ARALLE SELATAN;0;SEPTEMBER
85;SULAWESI BARAT;MAMASA;ARALLE;ARALLE UTARA;0;SEPTEMBER
86;SULAWESI BARAT;MAMASA;ARALLE;BARURU;0;SEPTEMBER
87;SULAWESI BARAT;MAMASA;ARALLE;HAHANGAN;0;SEPTEMBER
88;SULAWESI BARAT;MAMASA;ARALLE;KALABE;0;SEPTEMBER
89;SULAWESI BARAT;MAMASA;ARALLE;PAMOSEANG PANGGA;0;SEPTEMBER
90;SULAWESI BARAT;MAMASA;ARALLE;PANETEAN;0;SEPTEMBER
91;SULAWESI BARAT;MAMASA;ARALLE;RALLE ANAK;0;SEPTEMBER
92;SULAWESI BARAT;MAMASA;ARALLE;RALLEANAK UTARA;0;SEPTEMBER
93;SULAWESI BARAT;MAMASA;ARALLE;UHAIDAHO;0;SEPTEMBER
94;SULAWESI BARAT;MAMASA;ARALLE;UHAILANU;0;SEPTEMBER
95;SULAWESI BARAT;MAMASA;BALLA;BALLA;2;SEPTEMBER
96;SULAWESI BARAT;MAMASA;BALLA;BALLA BARAT;0;SEPTEMBER
97;SULAWESI BARAT;MAMASA;BALLA;BALLA SATANETEAN;0;SEPTEMBER
98;SULAWESI BARAT;MAMASA;BALLA;BALLA TIMUR;0;SEPTEMBER
99;SULAWESI BARAT;MAMASA;BALLA;BALLA TUMUKA;10;SEPTEMBER
100;SULAWESI BARAT;MAMASA;BALLA;BAMBAPUANG;0;SEPTEMBER
101;SULAWESI BARAT;MAMASA;BALLA;PIDARA;0;SEPTEMBER
102;SULAWESI BARAT;MAMASA;BALLA;SEPAKUAN;7;SEPTEMBER
103;SULAWESI BARAT;MAMASA;BAMBANG;BALATANA;0;SEPTEMBER
