PROVINSI;KABUPATEN;KECAMATAN;KELURAHAN;SASARAN BKB;KESERTAAN BKB;SASARAN BKR;KESERTAAN BKR;SASARAN BKL;KESERTAAN BKL;BULAN
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;BAMBALAMOTU;378;227;713;137;226;124;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;POLEWALI;290;235;558;208;189;128;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;RANDOMAYANG;374;190;684;148;209;102;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;PANGIANG;172;86;371;139;137;31;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;KALOLA;356;258;737;283;142;96;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBALAMOTU;WULAI;122;102;392;158;104;97;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PASANGKAYU;1572;922;3645;1009;807;203;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;MARTAJAYA;129;45;255;86;128;49;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;PAKAVA;192;105;503;41;66;19;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;KARYA BERSAMA;276;70;424;187;81;37;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;AKO;272;165;690;267;181;40;JANUARI
SULAWESI BARAT;PASANGKAYU;PASANGKAYU;GUNUNG SARI;178;157;585;285;106;33;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;BARAS;171;103;357;218;123;51;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;BALANTI;214;201;480;242;119;38;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;MOTU;411;465;847;501;176;58;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;BULU PARIGI;111;123;266;126;78;32;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;TOWONI;88;94;196;125;45;32;JANUARI
SULAWESI BARAT;PASANGKAYU;BARAS;KASANO;245;161;581;313;170;42;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;SARUDU;453;25;937;0;233;9;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;BULU MARIO;368;102;682;237;164;56;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;KUMASARI;176;98;351;101;88;36;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;PATIKA;56;35;116;49;25;16;JANUARI
SULAWESI BARAT;PASANGKAYU;SARUDU;DODA;221;179;450;226;97;50;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;DAPURANG;351;183;695;523;202;62;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;BENGGAULU;188;193;517;40;145;749;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;TIRTABUANA;114;105;205;1;62;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;BULU BONGGU;179;72;430;389;107;540;JANUARI
SULAWESI BARAT;PASANGKAYU;DAPURANG;SARASA;136;34;323;0;90;0;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TAMMARUNANG;210;187;391;168;86;65;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SAPTANAJAYA;166;48;289;108;79;42;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;TARANGGI;73;82;134;71;34;57;JANUARI
SULAWESI BARAT;PASANGKAYU;DURIPOKU;SIPAKAINGA;62;28;127;60;33;21;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;LILIMORI;266;33;482;136;183;29;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;KARAVE;220;152;409;223;177;78;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;BUKIT HARAPAN;98;102;214;117;52;30;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;KASTABUANA;131;78;268;145;62;26;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;SUMBER SARI;22;15;43;35;12;30;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;LELEJAE;120;73;249;149;72;46;JANUARI
SULAWESI BARAT;PASANGKAYU;BULU TABA;OMPI;72;56;125;70;34;20;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;TIKKE;260;66;517;276;150;44;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;MAKMUR JAYA;386;21;677;250;112;34;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;LARIANG;346;209;625;268;170;72;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;PAJALELE;218;131;499;245;99;50;JANUARI
SULAWESI BARAT;PASANGKAYU;TIKKE RAYA;JENGENG RAYA;196;106;381;198;100;50;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MALEI;158;125;304;165;106;58;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;PEDANDA;104;77;230;165;93;53;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;BATU OGE;109;67;197;141;66;30;JANUARI
SULAWESI BARAT;PASANGKAYU;PEDONGGA;MARTASARI;271;155;558;186;145;63;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;BAMBAIRA;260;151;489;243;123;51;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KASOLOANG;185;40;349;77;121;26;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;TAMPAURE;170;60;408;75;112;53;JANUARI
SULAWESI BARAT;PASANGKAYU;BAMBAIRA;KALUKU NANGKA;281;30;479;29;128;22;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;SARJO;239;163;443;61;150;25;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;MAPONU;98;14;223;0;80;0;JANUARI
SULAWESI BARAT;PASANGKAYU;SARJO;LETAWA;199;19;323;0;90;0;JANUARI
